Auto_Name;Year;Auto_URL;Price;Fuel;HorsePower;Mileage
Лада 2107;2008;https://pushkino.drom.ru/lada/2107/50899875.html;45000;бензин;76;55858
Москвич 403;1963;https://moscow.drom.ru/moskvitch/403/50130207.html;47000;бензин;45;25380
Лада 2105;2003;https://moscow.drom.ru/lada/2105/50918627.html;47000;бензин;71;50000
Лада 2115 Самара;2003;https://chehov.drom.ru/lada/2115/50146925.html;49000;бензин;76;200000
Лада 21099;2002;https://korolev.drom.ru/lada/21099/50913242.html;50000;бензин;78;145000
Лада 2107;1999;https://moscow.drom.ru/lada/2107/50902003.html;55000;бензин;76;186000
Лада 2110;1999;https://moscow.drom.ru/lada/2110/50526069.html;55000;бензин;78;178000
Лада 21099;2003;https://moscow.drom.ru/lada/21099/50923841.html;55000;бензин;78;264131
Лада 2107;2007;https://lyubertsy.drom.ru/lada/2107/50919567.html;55000;бензин;74;130000
Лада 2107;2004;https://istra.drom.ru/lada/2107/49762116.html;60000;бензин;71;50000
Лада 2105;2005;https://moscow.drom.ru/lada/2105/50917161.html;60000;бензин;71;200000
Лада 2115 Самара;2001;https://vidnoe.drom.ru/lada/2115/50907909.html;65000;бензин;76;224000
Лада 2105;2006;https://moscow.drom.ru/lada/2105/50912576.html;67000;бензин;71;90314
Лада 2101;1975;https://mytishchi.drom.ru/lada/2101/48201875.html;70000;бензин;64;75000
Лада 2105;1996;https://moscow.drom.ru/lada/2105/50923180.html;70000;бензин;71;15888
Лада 2106;1997;https://moscow.drom.ru/lada/2106/50910578.html;70000;бензин;75;70000
Лада 21099;2002;https://orehovo-zuevo.drom.ru/lada/21099/50899839.html;70000;бензин;78;233956
Лада 2107;2004;https://moscow.drom.ru/lada/2107/50530815.html;70000;бензин;74;250000
Chevrolet Lanos;2006;https://moscow.drom.ru/chevrolet/lanos/50540315.html;70000;бензин;86;75600
Лада 2107;2001;https://moscow.drom.ru/lada/2107/50912653.html;72000;бензин;74;150000
Лада 21099;2001;https://moscow.drom.ru/lada/21099/50912841.html;77000;бензин;78;117243
Volkswagen Passat;1988;https://vidnoe.drom.ru/volkswagen/passat/50916899.html;80000;бензин;90;999999
ГАЗ 24 Волга;1988;https://shchelkovo.drom.ru/gaz/24_volga/50910155.html;80000;бензин;100;83748
Ford Mondeo;1995;https://zagoryanskiy.drom.ru/ford/mondeo/49449733.html;80000;бензин;136;200000
Лада 2106;1995;https://moscow.drom.ru/lada/2106/49207240.html;80000;бензин;75;80000
Лада 2110;1999;https://moscow.drom.ru/lada/2110/50539410.html;80000;бензин;78;170000
Лада 2110;2005;https://lytkarino.drom.ru/lada/2110/50905832.html;80000;бензин;80;300000
Лада 2115 Самара;2006;https://dolgoprudniy.drom.ru/lada/2115/50916192.html;81000;бензин;76;230000
Audi 100;1984;https://moscow.drom.ru/audi/100/50901522.html;84999;бензин;75;400000
Лада 2107;2004;https://moscow.drom.ru/lada/2107/50919039.html;85000;бензин;74;77000
